Cluster,Reference_Size,Mean_Jaccard,Median_Jaccard,SD_Jaccard,Jaccard_5th,Jaccard_95th,Recovery_Jaccard_GE_0.75,Recovery_Jaccard_GE_0.85,Mean_Equivalent_Size,SD_Equivalent_Size,Size_CV
0,635,0.7646610231549134,0.7872875244668796,0.0863224012399733,0.5794706679111273,0.8736765468307929,0.675,0.14,562.350733824303,65.32164473942505,0.11615819240636699
1,390,0.5248276427009038,0.5103467960610818,0.0976146705709517,0.4164893427240097,0.6895464396284829,0.01,0.0,583.3792398737506,108.77585194541945,0.186458215360834
2,1162,0.8329907604726305,0.8280579658926214,0.06108507264108257,0.7383511036571951,0.9297213182856747,0.92,0.345,1015.4108968963704,107.69725896762353,0.10606273706221095
3,30,0.917490739276958,1.0,0.2553998030972283,0.12473086124401915,1.0,0.905,0.905,48.87627301420305,59.35459217293576,1.2143845778848112
4,20,0.9612195497995683,1.0,0.19075735415924933,1.0,1.0,0.96,0.96,26.982856391372962,34.55369398879514,1.280579546049941
