Configuration,Input_Features,Processed_Features,PCA_Components,Explained_Variance,Silhouette,Min_Cluster_Size,Max_Cluster_Size,Min_Response_Rate,Max_Response_Rate,Response_Rate_Range,Chi_Square,P_Value,Cramers_V,Min_Response_Percent,Max_Response_Percent,Response_Range_Percent
Demographics,8,19,8,0.9040105642041771,0.18309230843795785,267,675,0.08148148148148149,0.28342245989304815,0.20194097841156666,100.94596678970724,6.18644515751903e-21,0.21242786967954075,8.148148148148149,28.342245989304814,20.194097841156665
Spending,6,6,5,0.9401101040090285,0.4031250798643702,95,1154,0.09532062391681109,0.3712121212121212,0.27589149729531015,106.38866590761613,4.284978082034239e-22,0.21807942300323382,9.532062391681109,37.121212121212125,27.589149729531016
Channel,5,5,4,0.9366412199924403,0.25563559645488315,233,650,0.06769230769230769,0.22166666666666668,0.153974358974359,68.22282452341825,5.3833198346142643e-14,0.17463522813912805,6.769230769230769,22.166666666666668,15.3974358974359
Demographics + Spending,14,25,12,0.9018097529532175,0.11948521430490895,262,633,0.04497354497354497,0.23282442748091603,0.18785088250737106,88.27326980016096,3.0636009169316404e-18,0.19864681898976466,4.497354497354497,23.282442748091604,18.785088250737108
Spending + Channel,11,11,8,0.9231309348204879,0.26450659914933483,233,917,0.07161803713527852,0.2619047619047619,0.19028672476948338,106.38860360811525,4.285109097120007e-22,0.2180793591513137,7.161803713527852,26.190476190476193,19.028672476948337
All Behavioural (No Campaign History),20,31,16,0.9090886827123519,0.11968084830983566,20,624,0.0673076923076923,0.266025641025641,0.19871794871794873,104.17348456499538,1.270577971889929e-21,0.21579709977716924,6.730769230769231,26.602564102564102,19.871794871794872
Full Held-Out + Campaign History,25,36,19,0.9035585735172125,0.19953257674273947,20,1162,0.10327022375215146,0.6666666666666666,0.5633964429145152,126.36757275082354,2.3283891407134985e-26,0.2376757263466816,10.327022375215146,66.66666666666666,56.33964429145152
