Iteration,ARI,NMI,PCA_Components,Explained_Variance
1,0.667655471641688,0.6810924718038405,19,0.9031295377681688
2,0.7844115645881049,0.7118381952445096,19,0.9090868629321781
3,0.5482300715612716,0.6026741177815284,19,0.9028774690873606
4,0.5370206652781522,0.6104020004462766,19,0.9036526934403188
5,0.6930972641342716,0.6639994986529769,19,0.908687741117812
6,0.7686307161095073,0.6926937594764163,19,0.9033852732921711
7,0.7752002929698951,0.703058809694982,19,0.9031149814045194
8,0.5634201148561642,0.585086350637965,19,0.9044949975430406
9,0.5639452973521629,0.5625629203837187,19,0.9099884796703254
10,0.8506181285352012,0.7842957863023838,19,0.903283769180868
11,0.7284451524749453,0.6457270293116631,19,0.9040058829386686
12,0.5757421842663178,0.6085884840551106,19,0.904193144005888
13,0.6006967938522748,0.6187609519629845,19,0.9027143882044065
14,0.738845919052488,0.6620653418200672,19,0.9083931221229646
15,0.5305617717673496,0.5633567700558967,19,0.9025703088474517
16,0.6311990647934693,0.6237696632575158,19,0.9036378844295924
17,0.5649454525139466,0.6338084291165085,19,0.908740852851777
18,0.7450728583855806,0.6968280969035024,19,0.9032000482583679
19,0.6080350201599581,0.6153014653781265,19,0.9061654145508647
20,0.6727343614257206,0.68846127648617,19,0.9039365958436415
21,0.5804088420198392,0.5919271053673488,19,0.9099447985275169
22,0.7373616043251889,0.6985893145884059,19,0.9035678660053291
23,0.6940589149369006,0.6094494686685826,19,0.9089588986172643
24,0.5225392337433445,0.5812505897183515,19,0.9102522273812633
25,0.6795186956094483,0.6829166289835725,19,0.9031514904149184
26,0.6465578189927054,0.6765890793621674,19,0.9033971806035609
27,0.5644317307848599,0.5972003004652481,19,0.9034441502121316
28,0.8160246389159685,0.750592700276288,19,0.9030730404824321
29,0.7442836553340821,0.6920306364253378,19,0.903411341322063
30,0.5715211161368311,0.5783489607051403,19,0.9026127160362689
31,0.6576734819894446,0.6802368368746932,19,0.9026901524416504
32,0.6148591496527408,0.5969222417013704,19,0.9034068813733598
33,0.5739385825700163,0.6029882156460229,19,0.9040499194369123
34,0.7047709827737964,0.6819534516498699,19,0.9041929638779657
35,0.591382356353165,0.5698496741116936,19,0.9039018901605343
36,0.6960859035465385,0.6587411421412791,19,0.9033407581260273
37,0.79078016813804,0.7246764502260653,19,0.9043183357161798
38,0.5902880508970785,0.591715102316181,19,0.9043672567514482
39,0.6312787443117163,0.6395943496868116,19,0.9041537918831285
40,0.7196664810084883,0.6333266317714639,19,0.9029691659326958
41,0.5876375444132304,0.6136674812515053,19,0.9024009405838527
42,0.6451534288042848,0.6451576227348093,19,0.9030354239026421
43,0.661500165903661,0.5748656744945402,19,0.9033463246920348
44,0.5894865622373527,0.5966852248155495,19,0.9038216774344948
45,0.8156944458206501,0.7311282889463799,19,0.9033227750190672
46,0.4471623498502823,0.5323461578023337,19,0.9038897792070416
47,0.7259421919539382,0.6343363220557608,19,0.9036498401078007
48,0.7038589846892896,0.6918968894914994,19,0.9033005263831725
49,0.6362448280318561,0.6159025666357444,19,0.9039322135234882
50,0.6037911310636264,0.5616769334948345,19,0.9026902280504292
51,0.7831964497312771,0.7079551249496143,19,0.9031451534781422
52,0.8169234066214158,0.7443104429428226,19,0.9036792858281013
53,0.6122567464173212,0.5788356210503426,19,0.9038375077666755
54,0.743515108714443,0.6873729716878374,19,0.9034612284779027
55,0.8225482573436393,0.741697113770656,19,0.9038902875940693
56,0.7525842866913783,0.6966295354189995,19,0.9083879790936679
57,0.688529346782164,0.6624768159268841,19,0.9031971985466624
58,0.7898359690041158,0.736089064996542,19,0.9035479431170803
59,0.6975999004553933,0.6845132622997847,19,0.9024051868155127
60,0.5128694273495651,0.5724972224291723,19,0.9032718164876127
61,0.5528843224269944,0.6018189695687463,19,0.9033286134759761
62,0.6638514407651376,0.6014694433066001,19,0.909060039632944
63,0.6004637130642904,0.6032644990167921,19,0.9029480290951275
64,0.5408071149435966,0.5344941655169648,19,0.9082404866873208
65,0.7027898713231081,0.7050340056945655,19,0.9037956520499069
66,0.7646367111505222,0.686915229384182,19,0.9025610693403682
67,0.5827287858664805,0.5177779743238654,19,0.9039406498967546
68,0.5780970816607421,0.6152052342669982,19,0.9044083804622239
69,0.5341220269033197,0.5511512645803175,19,0.9083071343333888
70,0.5206882201842508,0.5535923206992928,19,0.9089281209638989
71,0.6586565574266865,0.6687521683387977,19,0.9032128479233452
72,0.5603551280672407,0.6348575679648945,19,0.9043318084218538
73,0.5977307755321175,0.6123979183485716,19,0.909234669081151
74,0.6853755597707706,0.6972079053307001,19,0.9033453260889351
75,0.8325853126722385,0.7653112676322946,19,0.9027098067626355
76,0.7163069957497004,0.6338995601638542,19,0.903692236446968
77,0.633655128384098,0.5993043654491822,19,0.9095410575961563
78,0.5956461667179634,0.6291798239697867,19,0.9089506274553214
79,0.6189540575917353,0.5956860470595556,19,0.9045749970228141
80,0.651703670414667,0.6614338356772381,19,0.9034645200831563
81,0.5719342735531524,0.5826201330068678,19,0.9031167046325307
82,0.7994871678979525,0.7123052147430811,19,0.9028730023465951
83,0.5749516906712562,0.5925985369003688,19,0.9028125353280727
84,0.5813237626991966,0.6042898663815831,19,0.9029331893500272
85,0.6986983086712685,0.6177821587150351,19,0.9036996004757526
86,0.5281375344798471,0.5998825278931236,19,0.9090165047597922
87,0.7239904278596337,0.6996182392101357,19,0.90397815297631
88,0.5667284455955913,0.5925070223996053,19,0.9037816829180855
89,0.5964041217348055,0.6223708907462615,19,0.9031229251271112
90,0.6282926757103837,0.5969580957934899,19,0.9090965132834125
91,0.8041651806417079,0.7295436404608272,19,0.9044992708911579
92,0.746764668552822,0.6771431098810429,19,0.9038005025485827
93,0.7591278626885436,0.6942669066167809,19,0.9033708912605122
94,0.6990994744067431,0.6885027251961072,19,0.9040018014597632
95,0.6704645287425584,0.6584501748489803,19,0.9044816314756933
96,0.6803774283396776,0.6579803534356694,19,0.9036375421335504
97,0.7115818945554471,0.6976762536526739,19,0.9025065445824073
98,0.7580291136214937,0.7099049486477214,19,0.9046213415407967
99,0.7146294647711573,0.6576261736704359,19,0.9031575142004631
100,0.5930064262459706,0.5853373991662666,19,0.9035149726149353
101,0.5911116300736313,0.6184776833181507,19,0.9102987013942766
102,0.6672723719427942,0.6568325665974626,19,0.9030391537788548
103,0.734380740228261,0.701115650848691,19,0.9024404540127141
104,0.6752675280524959,0.6700820037248206,19,0.9032462899382135
105,0.7360188594274969,0.6759527533398736,19,0.9041198198327608
106,0.5884375694579729,0.5802401246639781,19,0.9029521386668687
107,0.6719001891313584,0.5963656295061188,19,0.9039646668813661
108,0.8095395143785682,0.7710348935902692,19,0.9028564212771122
109,0.5793847131785361,0.6048583292203127,19,0.9039960394694568
110,0.6109477317679765,0.5930311826188551,19,0.9090288442793624
111,0.7527510788844319,0.67715002768818,19,0.9043745864120496
112,0.8186152656217317,0.7472954349077694,19,0.9034715097588254
113,0.6690645070410091,0.6469066424867274,19,0.9035030618648668
114,0.7149076681376872,0.6334838411662446,19,0.9037651760989276
115,0.6871097505895283,0.6470459699456589,19,0.9028058621681749
116,0.6290891026597124,0.6471146907139064,19,0.9032909446121519
117,0.7622657649759169,0.6895729918483678,19,0.9042320600901663
118,0.8791943198120143,0.8058957353531694,19,0.9036220654505012
119,0.6684775382895625,0.6652481449550354,19,0.9044140810480057
120,0.5652237590823416,0.6191994752805686,19,0.903361542505552
121,0.5923472769283653,0.6460913983001263,19,0.9089733228184455
122,0.643166136376728,0.6143439842192016,19,0.9038180947985275
123,0.6117214547764789,0.6127574233824689,19,0.9029392606447366
124,0.6324887158458256,0.6330670142772555,19,0.9034691957013992
125,0.7452563231089916,0.6801246567838098,19,0.9028564933747834
126,0.6841452593745324,0.6412753109469704,19,0.903278453340638
127,0.8148355084701441,0.7461523219644443,19,0.903797186029012
128,0.6385744376466731,0.6674635126825781,19,0.9031209816781351
129,0.6199121272918584,0.6299052974299858,19,0.9025208458629768
130,0.6437235649431828,0.6556078088520142,19,0.9037796290431255
131,0.6251402642140124,0.618527436307277,19,0.9025664555558207
132,0.7564239458314131,0.7050461445610591,19,0.9042056746413691
133,0.6315642772493182,0.6452360136723653,19,0.9036888691846966
134,0.6644610097608153,0.6481238780665582,19,0.9087059622143784
135,0.7924963315017719,0.7251659027982621,19,0.9030798139771421
136,0.545518397339977,0.5793938831219099,19,0.9038446910276102
137,0.5937958857450365,0.567026138282782,19,0.9021496253072521
138,0.6160889504408149,0.6473570058080482,19,0.9035884504951863
139,0.6533570298113082,0.5653493027730351,19,0.9037482481271716
140,0.7944790087081178,0.7522699084770474,19,0.9037352040338149
141,0.5888141301046614,0.5655433666841031,19,0.9025333136802902
142,0.7154489742659388,0.678193896772791,19,0.9089063998130631
143,0.7528864961283926,0.6627126480254517,19,0.9040890686620833
144,0.6465437014861637,0.6758234983602396,19,0.9038859165962617
145,0.8087792077644198,0.763006444053043,19,0.9028488761578054
146,0.737174125009394,0.6850931650105075,19,0.9035412148295989
147,0.6524470244723288,0.6299083724275871,19,0.9033946996188588
148,0.6414885587067567,0.6394102431527707,19,0.903476144049106
149,0.8488112264758592,0.7819787672594568,19,0.9039660471028069
150,0.7471766198910544,0.7267014003657498,19,0.9034429652097388
151,0.5939017027519905,0.6184839056413668,19,0.903826930220788
152,0.6942722897319776,0.6410056779278385,19,0.9036661770993022
153,0.6135672603199172,0.6143344155513998,19,0.9096107260417718
154,0.5645566172790952,0.6237179851701806,19,0.9029361811303577
155,0.8279822514450841,0.7616968791012291,19,0.9036621473875274
156,0.580030268697681,0.6179050802371794,19,0.9034432172800623
157,0.530877556386645,0.5150029504321227,19,0.9026497187806022
158,0.6838073580813533,0.6552040971637265,19,0.9034210420795896
159,0.6570993308720834,0.649069759113995,19,0.9033748714487483
160,0.641335483270562,0.583673099619056,19,0.9043105182751269
161,0.56898185090113,0.6339110046004611,19,0.9033788570018526
162,0.7084098291353422,0.6967199924864876,19,0.9027626986619554
163,0.5263289848953224,0.5799822203288995,19,0.9085083893069914
164,0.6374613413035676,0.6554599942935225,19,0.9032895843992782
165,0.7127764809058589,0.6905417868296952,19,0.9039438688354987
166,0.5805491555234871,0.6219174389676302,19,0.9085091695082831
167,0.4986153648838687,0.5497456444917381,19,0.9032749890659479
168,0.7254742370976691,0.671039681490726,19,0.9040320264233176
169,0.667281970306722,0.6141048378404205,19,0.9022695321137448
170,0.576745447993413,0.6382256821466572,19,0.9031613699757315
171,0.6245780495882912,0.6293756703355281,19,0.9040349876210593
172,0.6924205035361963,0.6415174844891893,19,0.9037342777899865
173,0.6145002019182464,0.6669160989293774,19,0.9032189137392783
174,0.6245370047405879,0.6434427674709612,19,0.9034584981264218
175,0.6045292533740765,0.6408317200704742,19,0.9039948805917618
176,0.666691801711766,0.678829883933903,19,0.9032119756437389
177,0.6191187131768082,0.6144467833081946,19,0.903895457016304
178,0.6359131049405858,0.5946459825032778,19,0.9040429116539104
179,0.7916361376628174,0.7340320338935834,19,0.9032514878387811
180,0.6287508564404936,0.5858028607055829,19,0.9047068629779692
181,0.7738195559928264,0.7229371250530351,19,0.9037700492545528
182,0.6561176118720876,0.6311362822644736,19,0.903348157078907
183,0.6512773874305144,0.6322642511641166,19,0.9038000373720054
184,0.699281120773121,0.639217890016804,19,0.9031292390249096
185,0.5890819649368083,0.5957811083703123,19,0.9031727337930325
186,0.5712020804863664,0.5304020841212667,19,0.9034915961356175
